地区,センター,燃やすごみ,燃やさないごみ,資源
一之江1から5丁目,小松川,水 土,金1 金3,月
一之江6から8丁目,小松川,水 土,金2 金4,月
一之江町全域,葛西,水 土,月1 月3,火
宇喜田町全域,葛西,月 木,金2 金4,土
江戸川1・2丁目（1から14）,小岩,水 土,木2 木4,月
江戸川2丁目（15から46）,小岩,水 土,月1 月3,木
江戸川3丁目,小岩,水 土,月1 月3,木
江戸川4丁目（1から14）,小岩,水 土,月1 月3,木
江戸川4丁目（16から25）,小松川,水 土,金2 金4,月
江戸川5丁目,葛西,水 土,月2 月4,火
江戸川6丁目(1から9)環七通り東側,葛西,水 土,月2 月4,火
江戸川6丁目(8から40)環七通り西側,葛西,水 土,月1 月3,火
江戸川6丁目(39から50)環七通り東側,葛西,水 土,月2 月4,火
大杉1・2丁目,小松川,火 金,月1 月3,水
大杉3・4丁目,小松川,火 金,木2 木4,土
大杉5丁目,小松川,火 金,月1 月3,水
興宮町全域,小松川,火 金,木1 木3,土
上一色1から3丁目,小松川,火 金,木1 木3,土
上篠崎1・2丁目,小岩,火 金,水2 水4,土
上篠崎3・4丁目,小岩,火 金,水1 水3,土
北葛西1・2丁目,葛西,月 木,土1 土3,金
北葛西3から5丁目,葛西,月 木,金2 金4,土
北小岩1・2丁目,小岩,火 金,土1 土3,水
北小岩3から8丁目,小岩,火 金,土2 土4,水
北篠崎1・2丁目,小岩,火 金,水1 水3,土
小松川1丁目（1から4、7）,小松川,月 木,水2 水4,金
小松川1丁目（5の1から6）,小松川,月 木,土2 土4,火
小松川1丁目（5の7から10）,小松川,火･金,月2 月4,水
小松川2丁目（1から4）,小松川,火･金,木2 木4,土
小松川2丁目（5から10）,小松川,火･金,月2 月4,水
小松川3丁目（1から5）,小松川,月 木,土2 土4,火
小松川3丁目（7の1）,小松川,水 土,火2 火4,木
小松川3丁目（7の2から6）,小松川,月 木,土2 土4,火
小松川3丁目（7の8、9）,小松川,水 土,火2 火4,木
小松川3丁目（10から13）,小松川,水 土,金2 金4,月
小松川3丁目（73から79、89、90）,小松川,月 木,土1 土3,火
小松川4丁目,小松川,月 木,土1 土3,火
鹿骨1・2・3丁目（1から17）,小岩,月 木,金2 金4,火
鹿骨3丁目（18から20）,小岩,月 木,金1 金3,火
鹿骨4丁目（1から8、16から30）,小岩,月 木,金2 金4,火
鹿骨4丁目（9から15、31から33）,小岩,月 木,金1 金3,火
鹿骨5・6丁目,小岩,月 木,金1 金3,火
鹿骨町全域,小岩,月 木,金1 金3,火
篠崎町1・2丁目,小岩,火 金,水2 水4,土
篠崎町3丁目（1から22）,小岩,水 土,木1 木3,月
篠崎町3丁目（23から33）,小岩,水 土,木2 木4,月
篠崎町4から6丁目,小岩,水 土,木1 木3,月
篠崎町7・8丁目,小岩,火 金,水2 水4,土
下篠崎町全域,小岩,水 土,木2 木4,月
清新町1丁目（1）清新中央ハイツ・清新南ハイツ,葛西,水 土,金2 金4,火
清新町1丁目（2）コーシャハイム清新,葛西,水 土,金1 金3,火
清新町1丁目（3）清新プラザ（4）シティコープ清新・清新北ハイツ,葛西,水 土,木2 木4,月
清新町1丁目（5）都営清新町1丁目アパート・清新住宅,葛西,月 木,土1 土3,金
清新町2丁目（1から10）都営清新町2丁目アパート含む,葛西,月 木,金1 金3,土
清新町2丁目都営清新町2丁目第二アパート,葛西,水 土,金1 金3,月
中央1・2丁目,小松川,火 金,月1 月3,水
中央3・4丁目,小松川,火 金,木2 木4,土
中葛西1・2丁目,葛西,水 土,月2 月4,火
中葛西3から5丁目,葛西,火 金,木2 木4,水
中葛西6・7丁目,葛西,火 金,木1 木3,水
中葛西8丁目,葛西,火 金,木2 木4,水
新堀1・2丁目,小岩,月 木,金2 金4,火
西一之江1・4丁目,小松川,火 金,月2 月4,水
西一之江2・3丁目,小松川,水 土,金1 金3,月
西葛西1・2丁目,葛西,月 木,土1 土3,金
西葛西3から6丁目,葛西,月 木,土2 土4,金
西葛西7・8丁目,葛西,火 金,木1 木3,水
西小岩1から5丁目,小岩,月 木,火2 火4,金
西小松川全域,小松川,水 土,火2 火4,木
西篠崎1・2丁目,小岩,火 金,水1 水3,土
西瑞江3丁目,小岩,水 土,月1 月3,木
西瑞江4丁目（1から4）,小松川,水 土,金2 金4,月
西瑞江4丁目（5から9）,小岩,水 土,月1 月3,木
西瑞江4丁目（10から27）,小松川,水 土,金2 金4,月
西瑞江5丁目,葛西,水 土,月1 月3,火
二之江町全域,葛西,水 土,月1 月3,火
春江町1・2丁目,小岩,月 木,金2 金4,火
春江町3丁目,小岩,水 土,月2 月4,木
春江町4丁目,小松川,水 土,金2 金4,月
春江町5丁目,葛西,水 土,月1 月3,火
東葛西1から4丁目,葛西,水 土,火1 火3,月
東葛西5丁目（1から52）,葛西,水 土,火2 火4,月
東葛西5丁目（53から56の補助289号線東側),葛西,水 土,火1 火3,月
東葛西5丁目（53から56の補助289号線西側）,葛西,水 土,火2 火4,月
東葛西5丁目（57),葛西,水 土,火1 火3,月
東葛西6丁目,葛西,水 土,火2 火4,月
東葛西7・8丁目,葛西,火 金,水2 水4,木
東葛西9丁目（1から3）,葛西,火 金,水1 水3,木
東葛西9丁目（4から23）,葛西,水 土,火2 火4,月
東小岩1丁目,小岩,火 金,水1 水3,土
東小岩2から6丁目,小岩,火 金,土1 土3,水
東小松川1丁目から4丁目,小松川,水 土,火2 火4,木
東篠崎1・2丁目,小岩,水 土,木2 木4,月
東篠崎町全域,小岩,水 土,木2 木4,月
東松本1・2丁目,小岩,月 木,金1 金3,火
東瑞江1丁目（1、2）,小岩,水 土,月1 月3,木
東瑞江1丁目（1、2を除く）,小岩,水 土,木2 木4,月
東瑞江2丁目,小岩,水 土,月1 月3,木
東瑞江3丁目,小岩,水 土,月2 月4,木
平井1・2丁目,小松川,月 木,土1 土3,火
平井3・4丁目,小松川,月 木,水2 水4,金
平井5丁目（1から30）,小松川,月 木,水1 水3,金
平井5丁目（31から58）,小松川,月 木,水2 水4,金
平井6・7丁目,小松川,月 木,水1 水3,金
船堀1・2丁目,葛西,月 木,金1 金3,土
船堀3丁目,葛西,月 木,金2 金4,土
船堀4から6丁目,葛西,月 木,金1 金3,土
船堀7丁目,葛西,水 土,月1 月3,火
本一色1から3丁目,小松川,火 金,木1 木3,土
松江1・2丁目,小松川,火 金,月2 月4,水
松江3から7丁目,小松川,水 土,火1 火3,木
松島1丁目,小松川,月 木,土1 土3,火
松島2から4丁目,小松川,月 木,土2 土4,火
松本1・2丁目,小松川,火 金,木2 木4,土
瑞江1丁目（1から21）,小岩,月 木,金2 金4,火
瑞江1丁目（22から65）,小岩,水 土,月2 月4,木
瑞江2・3・4丁目,小岩,水 土,月2 月4,木
南葛西1丁目,葛西,火 金,木1 木3,水
南葛西2・3丁目,葛西,火 金,水2 水4,木
南葛西4から7丁目,葛西,火 金,水1 水3,木
南小岩1から4丁目,小岩,月 木,金1 金3,火
南小岩5から8丁目,小岩,月 木,火1 火3,金
南篠崎町1丁目,小岩,水 土,木1 木3,月
南篠崎町2丁目,小岩,水 土,木2 木4,月
南篠崎町3丁目（26、27）,小岩,水 土,木1 木3,月
南篠崎町3丁目（26、27を除く）,小岩,水 土,月2 月4,木
南篠崎町4丁目（9、10）,小岩,水 土,月2 月4,木
南篠崎町4丁目（9・10を除く）,小岩,水 土,木1 木3,月
南篠崎町5丁目,小岩,水 土,木2 木4,月
谷河内1丁目,小岩,月 木,金2 金4,火
谷河内2丁目（1から3）,小岩,水 土,月2 月4,木
谷河内2丁目（4から15）,小岩,水 土,木1 木3,月
臨海町1丁目,葛西,水 土,木1 木3,月
臨海町2丁目,葛西,火 金,土1 土3,水
臨海町3丁目,葛西,,,
臨海町4・5丁目,葛西,火 金,水2 水4,木
臨海町6丁目,葛西,火 金,水1 水3,木
